ticket_id,text,customer_tier
TCK-101,"Flight 402 cancelled with zero warning, been stranded for 8 hours without food or hotel. Unacceptable!",VIP
TCK-102,"My suitcase was completely damaged on arrival, handles broken and zipper ripped. Need immediate compensation.",Standard
TCK-103,"Thank you to the gate agent in Chicago who helped me rebook my connection so smoothly! Amazing service.",Standard
TCK-104,"Delayed on tarmac for 3 hours now with no water or AC. People are getting furious and panicking.",VIP
TCK-105,"Can I change my seat assignment to an aisle seat for flight 819 tomorrow morning?",Standard
TCK-106,"Terrible experience with rude customer care over phone. Hung up on me after 45 minutes on hold!",Standard
TCK-107,"Loved the in-flight entertainment and friendly flight attendants on my trip from JFK to LHR today.",VIP
TCK-108,"Lost my medical bag containing insulin. Spoke to baggage service and no one knows where it is. Urgent help needed!",VIP
TCK-109,"Flight departed on time and landed 20 minutes early. Great job as always team!",Standard
TCK-110,"Still waiting for my refund from 3 weeks ago after your airline cancelled my holiday flight.",Standard
